Casespp*,PrctWdyPer,PrctGrassW,PrctTeen,MedInc2014,MinLST*,MaxLST*,MeanLST*,popm2nowet,RichnMed,PrctFlodNW,SwgDensRev,RoadDenRev,NitrogenNe,SalinityNe,GEO_ID_1
n/a,0.334958,0.0630338,0.149676,49763,n/a,n/a,n/a,0.0013946,24,0.696114,0.001357271,0.011560327,1.7869,35.6930008,15000US721270105002
n/a,0.156475,0.0251499,0.0944294,22615,n/a,n/a,n/a,0.0077798,33,0.9723,0.011770451,0.021560618,1.49514,13.8704996,15000US721270047002
n/a,0,0.0096682,0.0204866,11610,n/a,n/a,n/a,0.0007041,36,0.926116,0.007223981,0.014088829,1.95736,34.3633003,15000US721270105001
n/a,0.067429,0.18963,0.0955882,16296,n/a,n/a,n/a,0.000307,26,0.692172,0.001596971,0.008948367,0.792624,36.7750015,15000US721270070042
n/a,0,0.0229875,0.094536,22821,n/a,n/a,n/a,0.0056264,24,1.01278,0.013621435,0.020493251,3.1903,9.9843302,15000US720330204252
n/a,0,0.0589349,0.184615,17981,n/a,n/a,n/a,0.0073668,29,0.97547,0.000801442,0.023383963,3.52422,6.9649601,15000US720330204034
n/a,0.000433,0.0359449,0.132018,28182,n/a,n/a,n/a,0.0053957,24,0.143082,0.001094494,0.020686811,1.40476,25.9347,15000US720330204232
n/a,0.0176725,0.0927733,0.114013,28250,n/a,n/a,n/a,0.0037068,39,1.02707,0.017055733,0.018566772,1.49581,32.2389984,15000US720310508211
n/a,0.0536508,0.0255269,0.139793,55238,n/a,n/a,n/a,0.004964,22,1.0430599,0.017217145,0.017398086,1.36703,32.0275002,15000US720310502123
n/a,0,0.0743123,0.143354,31303,n/a,n/a,n/a,0.0039611,20,0.995519,0.007455585,0.015162921,1.363,33.3771019,15000US720310508122
n/a,0.1494,0.351031,0.15,26827,n/a,n/a,n/a,0.0036762,49,0.973233,0.008779471,0.012992576,1.37051,30.9216003,15000US720310502415
n/a,0,0.138388,0.0518519,28423,n/a,n/a,n/a,0.0031218,21,0.97378,0.014445053,0.018077642,1.3627501,33.1935997,15000US720310508222
n/a,0.0533258,0.0033051,0.0835476,26417,n/a,n/a,n/a,0.0052782,39,0.983087,0.015397799,0.018699117,1.36959,31.3967991,15000US720310502121
n/a,0,0.121812,0.128104,25769,n/a,n/a,n/a,0.0058508,21,0.633143,0.015050257,0.019480133,1.36306,32.8511009,15000US720310502421
n/a,0.0030666,0.0208071,0.0785498,21875,n/a,n/a,n/a,0.0058273,36,0.087705,0.000991107,0.016575695,1.64481,17.4004993,15000US720310503211
n/a,0.0922243,0.0051056,0,36810,n/a,n/a,n/a,0.0039342,21,0.89582,0.002026936,0.012937026,1.2295001,31.4102993,15000US720310502211
n/a,0.142445,0,0.190457,23049,n/a,n/a,n/a,0.0090404,22,0.939258,0.027090632,0.023258545,1.74845,15.9261999,15000US720310501052
n/a,0.523601,0.110861,0.176692,43864,n/a,n/a,n/a,0.004878,49,1.00079,0.000334092,0.007160303,1.32643,39.4458008,15000US720310502111
n/a,0.0582012,0.0014317,0.371871,14236,n/a,n/a,n/a,0.0082919,30,0.238819,0.00552642,0.026559275,1.70312,13.7051001,15000US721270035011
n/a,0.0038684,0.027343,0.0754717,44968,n/a,n/a,n/a,0.0090375,36,1.01071,0.008542933,0.025530464,1.99704,35.1413994,15000US721270105003
n/a,0.110077,0.0026117,0.147527,20099,n/a,n/a,n/a,0.0156064,24,0.962017,0.007510768,0.026397549,1.9862601,33.8132019,15000US721270037004
n/a,0.0006971,0.0213006,0.0756901,11176,n/a,n/a,n/a,0.0076878,24,0.0705516,0.016260029,0.01949882,1.7754101,14.0976,15000US721270034001
n/a,0.135487,0.0338395,0.141457,16768,n/a,n/a,n/a,0.0075478,24,0.99945,0.012379077,0.018035501,1.48948,14.0880003,15000US721270046005
n/a,0,0.13936,0.209617,16295,n/a,n/a,n/a,0.0064515,27,0.830787,0,0.021782035,3.9186399,3.4360001,15000US720330203021
n/a,0.0198449,0.0986351,0.218914,2499,n/a,n/a,n/a,0.0086157,25,0.807681,0,0.011574386,3.6709001,5.7144399,15000US720330204261
n/a,0.275089,0.0360594,0.097137,20962,n/a,n/a,n/a,0.0004499,34,0.626899,0,0.010248041,2.51388,33.5042992,15000US720871106001
n/a,0.589797,0.337411,0.179707,15707,n/a,n/a,n/a,0.0010552,50,0.253585,0,0.001804698,2.5482099,33.7103004,15000US720871106002
n/a,0,0.0169819,0.124776,18992,n/a,n/a,n/a,0.0019165,23,0.640375,0,0.017441578,0.859595,32.608799,15000US720610401011
n/a,0.123926,0.266338,0.211612,14889,n/a,n/a,n/a,0.0046977,36,0.045453,0,0.009747319,1.66943,17.4144001,15000US721270052151
n/a,0.0003724,0.0009631,0.121212,42824,n/a,n/a,n/a,0.0071208,49,0.998483,0,0.025214496,1.37111,31.0275993,15000US720310502412
n/a,0.4454,0.0038475,0,9402,n/a,n/a,n/a,0.0026951,33,0.571808,0,0.010920081,1.4634399,13.9362001,15000US721270035014
n/a,0.0454564,0,0.146602,15539,n/a,n/a,n/a,0.0055019,36,0.932497,0.015745382,0.027239033,2.00454,34.9264984,15000US721270044003
n/a,0.0019634,0,0.106529,17434,n/a,n/a,n/a,0.0061035,24,0.024758,0.016312234,0.036298926,0.391587,37.8588982,15000US721270042002
n/a,0.0284362,0,0.0899054,15129,n/a,n/a,n/a,0.0062784,33,0.408163,0.005133232,0.019670921,1.60097,17.5867996,15000US721270046001
n/a,0,0.0000001,0.0412621,59074,n/a,n/a,n/a,0.0052292,24,0.280323,0.021766881,0.031826224,0.311045,37.9425011,15000US721270019001
n/a,0,0.0004206,0.136394,2499,n/a,n/a,n/a,0.0024,36,0.93564,0.003514769,0.010404616,1.57763,35.7902985,15000US721279801031
n/a,0.0907219,0,0.0790123,13438,n/a,n/a,n/a,0.0042257,33,0.946078,0,0.027198959,1.59007,16.3799,15000US721270035022
n/a,0,0.169689,0.230136,12446,n/a,n/a,n/a,0.010477,29,0.338938,0,0.006658869,2.2205901,34.0959015,15000US720291004004
n/a,0,0,0,66615,n/a,n/a,n/a,0.0072367,24,0.160598,0.012457175,0.017187277,1.92211,13.4544001,15000US720310501033
n/a,0,0,0.0327613,38021,n/a,n/a,n/a,0.0054244,24,0.531954,0.011229508,0.014044888,1.90316,13.4034996,15000US720310501061
n/a,0,0,0.0139276,55658,n/a,n/a,n/a,0.0101188,22,1.00561,0.007931543,0.009040855,1.78661,13.4726,15000US720310501073
n/a,0,0,0.0253807,50978,n/a,n/a,n/a,0.0097961,22,0.473099,0.010485001,0.00946582,1.84647,13.4195995,15000US720310501062
n/a,0,0,0.0496454,36757,n/a,n/a,n/a,0.0010684,26,0.366889,0.019051152,0.020203908,1.29979,29.5125008,15000US720610403021
n/a,0,0,0.172361,27917,n/a,n/a,n/a,0.003,26,0.495366,0.011310551,0.017249094,0.958955,34.1097984,15000US721270071002
n/a,0,0,0.0341207,36058,n/a,n/a,n/a,0.0056794,22,0.151953,0.016345007,0.022014248,1.2139601,31.1128998,15000US721270011001
n/a,0,0,0.0692799,58173,n/a,n/a,n/a,0.0036903,22,0.611526,0.028821909,0.018546695,1.7831,14.6240997,15000US721270012002
n/a,0,0,0,8333,n/a,n/a,n/a,0.0022209,23,0.0652407,0.005938758,0.023768652,0.567659,37.7626991,15000US721270007001
n/a,0,0,0.0531271,55078,n/a,n/a,n/a,0.0125274,22,0.0143128,0.016452858,0.019024405,0.73952,36.4602013,15000US721270010002
n/a,0,0,0.0764099,30714,n/a,n/a,n/a,0.0031356,24,0.264907,0.004329717,0.018150706,0.513236,37.8704987,15000US721270007002
n/a,0,0,0.0901526,33047,n/a,n/a,n/a,0.0037405,24,0.652236,0.02281132,0.02426686,1.44731,26.9391003,15000US721270011002
n/a,0,0,0.0989691,35699,n/a,n/a,n/a,0.0026669,22,0.831439,0.018629046,0.019344702,1.73985,18.3948002,15000US721270012001
n/a,0,0,0.100823,18843,n/a,n/a,n/a,0.0023987,29,1.01044,0.008696927,0.015734197,3.3831,8.2754602,15000US720330204031
n/a,0,0,0.0769971,35677,n/a,n/a,n/a,0.0046856,39,0.98836,0.016141252,0.023462028,1.5260201,31.9682007,15000US720310508212
n/a,0,0,0.0863192,25489,n/a,n/a,n/a,0.0046026,21,0.989118,0.018632992,0.023318857,1.4284199,32.5050011,15000US720310508213
n/a,0,0,0.127919,26375,n/a,n/a,n/a,0.0059979,34,1.01144,0.013015685,0.016914052,1.36564,31.7847996,15000US720310502124
n/a,0,0,0.134126,5089,n/a,n/a,n/a,0.0104615,21,0.663859,0.009830312,0.012063408,1.3613,32.0449982,15000US720310502125
n/a,0,0,0.0161765,33625,n/a,n/a,n/a,0.0038012,24,0.208936,0.010424037,0.017537728,0.285017,37.9383011,15000US721270009001
n/a,0,0,0.0256917,39450,n/a,n/a,n/a,0.0035547,24,0.0596757,0.008229359,0.014551495,0.348823,37.8400993,15000US721270010006
n/a,0,0,0.186087,26333,n/a,n/a,n/a,0.0042194,39,0.972423,0.014524771,0.025022521,1.40634,31.3125992,15000US720310508113
n/a,0,0,0.228275,29333,n/a,n/a,n/a,0.0067228,21,0.977722,0.010439695,0.029446474,1.3595999,32.1189995,15000US720310502414
n/a,0,0,0.138002,27411,n/a,n/a,n/a,0.0044724,23,0.0156505,0.003528424,0.023317924,1.53099,18.5723,15000US720310503311
n/a,0,0,0.170163,30081,n/a,n/a,n/a,0.0054907,23,0.0326164,0.008472792,0.017675243,1.63592,17.2001991,15000US720310503214
n/a,0,0,0.101081,26591,n/a,n/a,n/a,0.0067945,20,1.0200599,0.015965791,0.023649357,1.3649499,32.8823013,15000US720310508223
n/a,0,0,0.0435356,21815,n/a,n/a,n/a,0.005489,27,0.984228,0,0.038369481,1.86481,22.8038006,15000US720330202001
n/a,0,0,0.142042,12596,n/a,n/a,n/a,0.0070687,27,0.951904,0,0.035478274,2.7234199,14.6012001,15000US720330202004
n/a,0,0,0.0864745,14808,n/a,n/a,n/a,0.0028564,27,1.00609,0,0.021367624,0.950883,31.6702995,15000US720330202002
n/a,0,0,0.135828,26417,n/a,n/a,n/a,0.0044025,36,0.326551,0,0.018044008,1.53174,17.8787003,15000US720310503212
n/a,0,0,0.0543735,8036,n/a,n/a,n/a,0.0079895,23,0.994753,0,0.039393403,2.3818099,17.7094002,15000US720330202003
n/a,0,0,0.088,32784,n/a,n/a,n/a,0.0050062,23,0.217733,0,0.023377453,1.5336699,18.0450993,15000US720310503213
n/a,0,0,0.0859278,28594,n/a,n/a,n/a,0.0056172,22,0.0118845,0.012373371,0.024427685,1.36779,26.1326008,15000US720310502214
n/a,0,0,0.0187891,51641,n/a,n/a,n/a,0.0071001,22,0.956946,0.003979408,0.009714214,1.78777,13.5738001,15000US720310501072
n/a,0,0,0.0163265,60909,n/a,n/a,n/a,0.0064199,22,0.549062,0.023311924,0.035500162,0.300682,37.9085999,15000US721270009004
n/a,0,0,0.112331,19450,n/a,n/a,n/a,0.0035961,24,0.0464411,0.014228244,0.023495428,1.73931,23.0191994,15000US721270063006
n/a,0,0,0.14902,14100,n/a,n/a,n/a,0.0138294,22,0.852275,0.019684286,0.034693512,1.5359499,15.6567001,15000US721270060001
n/a,0,0,0.0019569,34531,n/a,n/a,n/a,0.0016284,22,0.189484,0.014699145,0.027579435,1.9147201,30.5506001,15000US721270065001
n/a,0,0,0.186905,3188,n/a,n/a,n/a,0.0191067,22,1.00474,0.049164516,0.021806927,1.78957,14.4049997,15000US721270013023
n/a,0,0,0.0851064,30694,n/a,n/a,n/a,0.004556,24,0.686199,0.024298561,0.03131018,1.14301,23.3943996,15000US721270076001
n/a,0,0,0.0413386,33750,n/a,n/a,n/a,0.0025868,22,0.622883,0.017990593,0.023370749,1.9434,31.8813992,15000US721270065003
n/a,0,0,0.13913,28550,n/a,n/a,n/a,0.0114711,22,0.0847334,0.021625614,0.04082353,0.517967,37.5951004,15000US721270010004
n/a,0,0,0,31667,n/a,n/a,n/a,0.0027207,23,0.0092447,0.023352109,0.030521993,0.387019,37.5722008,15000US721270005061
n/a,0,0,0.105325,12458,n/a,n/a,n/a,0.0104606,24,0.378574,0.051141088,0.038877503,1.5966901,27.3710003,15000US721270014002
n/a,0,0,0.257743,13906,n/a,n/a,n/a,0.012561,24,1.01508,0.012726686,0.035642938,1.67107,18.1809998,15000US721270037001
n/a,0,0,0.0916955,15114,n/a,n/a,n/a,0.0073709,24,0.606635,0.062637814,0.037764681,1.67462,24.4221992,15000US721270014001
n/a,0,0,0.0719132,36319,n/a,n/a,n/a,0.0028246,24,0.709737,0.01896995,0.023508176,1.3123699,16.5617008,15000US721270086021
n/a,0,0,0.0933082,16517,n/a,n/a,n/a,0.0069718,22,0.21211,0.031438812,0.033827574,1.44741,30.4785995,15000US721270015001
n/a,0,0,0.171373,4038,n/a,n/a,n/a,0.0102685,24,0.433163,0.03745069,0.019051765,1.80002,17.3223991,15000US721270013011
n/a,0,0,0.182239,12917,n/a,n/a,n/a,0.0033593,24,0.263977,0.013867572,0.01649184,1.64545,18.8486004,15000US721270061011
n/a,0,0,0.0653659,9821,n/a,n/a,n/a,0.0101373,24,0.571284,0.011433338,0.031603226,1.84381,27.1072006,15000US721270045002
n/a,0,0,0.0733591,18828,n/a,n/a,n/a,0.0033047,24,0.390199,0.052362877,0.044346406,1.6803,28.5709991,15000US721270026001
n/a,0,0,0.139,14198,n/a,n/a,n/a,0.0086815,24,0.884953,0.047755886,0.034673721,1.82722,20.0279999,15000US721270028003
n/a,0,0,0.090301,11250,n/a,n/a,n/a,0.0111265,22,0.379328,0.029515167,0.033917666,1.53971,15.9048996,15000US721270046003
n/a,0,0,0.133333,15231,n/a,n/a,n/a,0.0145556,22,0.471028,0.025458714,0.034268786,1.55279,16.2127991,15000US721270046004
n/a,0,0,0.147173,17778,n/a,n/a,n/a,0.0101037,24,0.903447,0.058024423,0.037718296,1.7922,15.0794001,15000US721270028001
n/a,0,0,0.0912162,12617,n/a,n/a,n/a,0.0108726,22,0.343225,0.032357461,0.039278287,1.98314,33.5037003,15000US721270038002
n/a,0,0,0.0739496,65833,n/a,n/a,n/a,0.0011491,23,0.439662,0.007376092,0.014586187,0.477574,37.6310997,15000US721270006002
n/a,0,0,0.0752879,11017,n/a,n/a,n/a,0.004526,24,1.02842,0.019344027,0.020178824,1.58215,14.6569004,15000US721270060002
n/a,0,0,0.16831,2499,n/a,n/a,n/a,0.020244,22,1.0657001,0.051885854,0.028446971,1.79087,13.8014002,15000US721270013022
n/a,0,0,0.098579,27933,n/a,n/a,n/a,0.0070592,22,0.0319531,0.021754511,0.033744242,0.293266,37.9207993,15000US721270018002
n/a,0,0,0.130016,21700,n/a,n/a,n/a,0.0039687,22,0.952401,0.016487097,0.023759039,1.3204,30.0436993,15000US720310502213
n/a,0,0,0.171968,27213,n/a,n/a,n/a,0.0075688,22,0.140604,0.00958426,0.026698995,1.34141,28.4750004,15000US720310502215
n/a,0,0,0.157559,29886,n/a,n/a,n/a,0.0093613,22,0.333146,0.023190054,0.027329567,1.33729,31.9118996,15000US720310502311
n/a,0,0,0.118812,28250,n/a,n/a,n/a,0.0064277,21,0.316045,0.018991429,0.027070582,1.35533,30.6347008,15000US720310502312
n/a,0,0,0.0770677,15875,n/a,n/a,n/a,0.0120843,22,0.656048,0.018801079,0.038735957,1.5075901,14.9337997,15000US721270046002
n/a,0,0,0.066874,14643,n/a,n/a,n/a,0.0052618,24,0.347569,0.018346488,0.02425979,1.02739,19.5758991,15000US721270076004
n/a,0,0,0.113924,15579,n/a,n/a,n/a,0.0023045,24,0.966403,0.009503865,0.015687393,1.62743,13.8990002,15000US721270047001
n/a,0,0,0.0459627,39010,n/a,n/a,n/a,0.0091029,22,0.0384227,0.022591377,0.02514034,0.397741,37.7658005,15000US721270010005
n/a,0,0,0.122066,11667,n/a,n/a,n/a,0.004797,24,0.994809,0.023012446,0.030185851,1.5140899,13.8273001,15000US721270047003
n/a,0,0,0,19714,n/a,n/a,n/a,0.0031981,24,0.782391,0.025292924,0.02762651,1.0201,16.4423008,15000US721270085003
n/a,0,0,0.148581,16929,n/a,n/a,n/a,0.0095503,24,0.623005,0.024903139,0.032882596,1.7881401,14.3809004,15000US721270029002
n/a,0,0,0.172234,19527,n/a,n/a,n/a,0.0070194,24,1.00831,0.016401789,0.025267952,1.66512,13.8652,15000US721270047005
n/a,0,0,0.196136,2499,n/a,n/a,n/a,0.0101004,33,0.200936,0.03247372,0.027889176,1.5582401,13.7639999,15000US721270035012
n/a,0,0,0.179032,16594,n/a,n/a,n/a,0.0115652,24,0.126765,0.022585802,0.037487179,1.79686,16.7581005,15000US721270030002
n/a,0,0,0.408186,2499,n/a,n/a,n/a,0.0118604,24,0.980749,0.008633628,0.015148799,1.32996,36.3550987,15000US721270043063
n/a,0,0,0.214567,11894,n/a,n/a,n/a,0.0147718,22,0.345815,0.054176001,0.040447909,1.7935801,26.6737995,15000US721270026002
n/a,0,0,0.164804,7098,n/a,n/a,n/a,0.0133318,24,1.07555,0.02119314,0.041881246,1.76639,21.9745998,15000US721270037002
n/a,0,0,0.160883,16364,n/a,n/a,n/a,0.0078191,24,0.949862,0.021271222,0.024721395,1.61461,13.7433996,15000US721270059001
n/a,0,0,0.120267,24375,n/a,n/a,n/a,0.009807,24,0.964806,0.027334879,0.029161485,0.887842,36.9253998,15000US721270070043
n/a,0,0,0.0307487,75583,n/a,n/a,n/a,0.007181,24,0.733957,0.007420819,0.012756145,0.286355,37.9567986,15000US721270009002
n/a,0,0,0.0629921,13851,n/a,n/a,n/a,0.0054046,22,0.4338,0.021046394,0.039418132,1.86078,25.8290005,15000US721270036002
n/a,0,0,0.134522,20119,n/a,n/a,n/a,0.0075919,24,0.313571,0.05334985,0.038394871,1.79974,16.6068993,15000US721270028002
n/a,0,0,0.124516,4122,n/a,n/a,n/a,0.0131208,22,0.97794,0.040412454,0.024541943,1.78783,14.1164999,15000US721270013021
n/a,0,0,0.113222,2499,n/a,n/a,n/a,0.0115879,24,0.763789,0.017575348,0.027386146,1.7824399,14.1000004,15000US721270048001
n/a,0,0,0.103004,20527,n/a,n/a,n/a,0.0081237,24,0.987239,0.017880222,0.031163725,1.50108,13.8436003,15000US721270047004
n/a,0,0,0.161866,9968,n/a,n/a,n/a,0.004344,24,0.0303712,0.017418927,0.022067576,1.75334,16.5962009,15000US721270051013
n/a,0,0,0.12987,4357,n/a,n/a,n/a,0.0179491,24,0.990074,0.025588264,0.015876503,1.4287699,36.2261009,15000US721270043061
n/a,0,0,0.0574534,18265,n/a,n/a,n/a,0.0069666,23,0.955685,0,0.034194118,1.0324301,30.9671993,15000US720610401012
n/a,0,0,0.1875,12353,n/a,n/a,n/a,0.0094336,23,0.952832,0,0.030497923,1.83117,23.3757,15000US720610401021
n/a,0,0,0.155102,15610,n/a,n/a,n/a,0.0062201,23,0.548405,0,0.030728999,2.1021199,20.7077999,15000US720610401031
n/a,0,0,0.0780042,30265,n/a,n/a,n/a,0.0052566,49,0.997872,0,0.023896882,1.3633,34.3480988,15000US720310502112
n/a,0,0,0.0331384,21467,n/a,n/a,n/a,0.0036956,23,0.991341,0,0.029273622,1.9703,22.0555992,15000US720610401023
n/a,0,0,0.0656342,16635,n/a,n/a,n/a,0.0085903,33,0.23678,0,0.028242749,1.49871,14.2466002,15000US721270035021
*These data were generated by our collaborators at the Center for Diseases Control and Prevention or The University of Puerto Rico Medical Sciences Campus. This information is not available for public distribution. For more information please contact the corresponding author dejesus-crespo.rebeca@epa.gov,,,,,,,,,,,,,,,
